53011372D,A  & E ENGINEERING SERVICES,Ceased Registration,2004-01-07T14:33:42,Business
53358494M,A  & Q TRANSIT,Cancelled (Non-Renewal),2017-03-15T12:31:24,Business
53043572A,A  AND Y CONSULTANCY SERVICES,Cancelled,2005-04-29T01:38:25,Business
53065972K,A  COFFEE  SHOP,Cancelled,2006-04-10T10:36:33,Business
53028864L,A  DIXIT & ASSOCIATES,Cancelled,2004-09-09T17:07:45,Business
53178729W,A  ENGINEERING,Cancelled (Non-Renewal),2010-10-28T16:55:59,Business
201602902K,A  SUCCESS PTE. LTD.,Struck Off,2016-02-03T16:23:20,Local Company
52887688X,A "SO CUTE" SHOP,na,1999-03-12T00:00:00,Business
38648600W,A & 1 FOOD SUPPLIER,Live,1987-12-26T00:00:00,Business
33317200X,A & 8 EATING HOUSE,Cancelled,1984-08-24T00:00:00,Business
52852360X,A & 8 RENOVATION & ENTERPRISE,Cancelled,1997-09-01T00:00:00,Business
52939759E,A & A  AA CENTRAL 24HRS LOCKSMITH,Cancelled,2001-03-14T00:00:00,Business
53091802A,A & A  ACCESSORIES,Live,2007-05-04T12:29:55,Business
49478700K,A & A - PARMON,na,1993-10-11T00:00:00,Business
47850200A,A & A ABA LOCKSHITH,Cancelled,1993-01-21T00:00:00,Business
53048585X,A & A ACCOUNTING SERVICES,Cancelled,2005-07-14T14:39:48,Business
50560000E,A & A AGENCIES,na,1994-04-21T00:00:00,Business
53060351M,A & A AIRCONDITIONING SERVICES,Live,2006-01-17T16:38:32,Business
199201906D,A & A ALUMINIUM & TRADING PTE LTD,Struck Off,1992-04-13T00:00:00,Local Company
53194826M,A & A ASSOCIATE,Live,2011-07-02T11:17:40,Business
43183900W,A & A AUTOMATION AND SYSTEM DESIGN SERVICES,na,1990-08-06T00:00:00,Business
53237321M,A & A BEAUTY & SLIMMING CENTRE,Cancelled,2013-05-16T15:43:39,Business
53093587B,A & A BODY CARE,Cancelled,2007-05-29T16:47:57,Business
52961071W,A & A BOUTIQUE,na,2002-01-19T00:00:00,Business
201006998N,A & A BOUTIQUE PTE. LTD.,Live Company,2010-04-01T17:09:53,Local Company
52998000B,A & A BUSINESS NETWORK,Ceased Registration,2003-07-07T10:26:08,Business
53022002D,A & A CANTEEN,Live,2004-06-03T20:49:13,Business
53019870C,A & A CAR GROOMING,Ceased Registration,2004-05-04T20:17:54,Business